snapshot_date,snapshot_month,loan_id,state,lvr_band,borrower_type,property_type,employment_type,lender,arrears_bucket,days_in_arrears,arrears_amount,loan_amount
2022-01-01,Jan 2022,LMI10293,NSW,95%+,First Home Buyer,House,Contract,ANZ,90+,146,11182.48,1303800
2022-01-01,Jan 2022,LMI10713,WA,90-95%,First Home Buyer,House,Self-Employed,ANZ,30,21,1048.46,388900
2022-01-01,Jan 2022,LMI10967,NSW,90-95%,First Home Buyer,Apartment,PAYG,ANZ,30,17,4825.67,986900
2022-01-01,Jan 2022,LMI11038,VIC,90-95%,Owner Occupier,House,PAYG,Bank of Queensland,30,20,5658.06,745000
2022-01-01,Jan 2022,LMI11093,VIC,85-90%,First Home Buyer,House,PAYG,Westpac,30,17,1375.03,633200
2022-01-01,Jan 2022,LMI11203,NSW,90-95%,First Home Buyer,House,Self-Employed,Commonwealth Bank,30,25,8999.91,1064900
2022-01-01,Jan 2022,LMI11323,NSW,90-95%,Investor,House,Contract,Commonwealth Bank,30,21,10678.62,1334000
2022-01-01,Jan 2022,LMI11336,NSW,85-90%,Owner Occupier,House,PAYG,Westpac,60,53,5319.11,1426600
2022-01-01,Jan 2022,LMI11485,NSW,85-90%,First Home Buyer,House,Self-Employed,ANZ,30,35,3426.06,919700
2022-01-01,Jan 2022,LMI11498,ACT,95%+,First Home Buyer,House,PAYG,ANZ,60,48,5715.8,1118200
2022-01-01,Jan 2022,LMI11575,NSW,90-95%,First Home Buyer,Townhouse,Self-Employed,Westpac,30,44,1861.47,702500
2022-01-01,Jan 2022,LMI11661,VIC,85-90%,First Home Buyer,House,PAYG,Westpac,90,90,7785.36,1066500
2022-01-01,Jan 2022,LMI11833,NSW,90-95%,Owner Occupier,Apartment,PAYG,Westpac,30,37,11232.39,1462500
2022-01-01,Jan 2022,LMI11932,NSW,90-95%,Owner Occupier,House,PAYG,ANZ,60,67,3534.52,1379900
2022-02-01,Feb 2022,LMI10189,VIC,95%+,Investor,Townhouse,PAYG,Bendigo Bank,30,22,2399.65,791600
2022-02-01,Feb 2022,LMI10341,NSW,90-95%,Owner Occupier,House,PAYG,Macquarie,30,37,7521.31,1334000
2022-02-01,Feb 2022,LMI10452,WA,85-90%,First Home Buyer,Apartment,PAYG,Commonwealth Bank,30,34,2687.1,634300
2022-02-01,Feb 2022,LMI10595,NSW,80-85%,Owner Occupier,Apartment,PAYG,Commonwealth Bank,30,16,5615.95,1239600
2022-02-01,Feb 2022,LMI10681,NSW,80-85%,Owner Occupier,House,PAYG,Commonwealth Bank,30,34,4078.93,792900
2022-02-01,Feb 2022,LMI10756,NSW,80-85%,Owner Occupier,Apartment,PAYG,Suncorp,30,29,3798.75,1291000
2022-02-01,Feb 2022,LMI10765,VIC,90-95%,Owner Occupier,House,PAYG,Macquarie,90,90,3771.4,1131600
2022-02-01,Feb 2022,LMI10816,VIC,85-90%,Owner Occupier,House,PAYG,Macquarie,30,21,5741.75,717100
2022-02-01,Feb 2022,LMI10881,WA,80-85%,First Home Buyer,House,PAYG,Bendigo Bank,60,50,1605.63,394500
2022-02-01,Feb 2022,LMI10884,WA,85-90%,Investor,House,PAYG,NAB,30,41,1248.19,586800
2022-02-01,Feb 2022,LMI11043,QLD,90-95%,Owner Occupier,House,PAYG,NAB,30,22,1158.97,541800
2022-02-01,Feb 2022,LMI11144,VIC,90-95%,First Home Buyer,Apartment,Self-Employed,Bank of Queensland,30,24,6960.75,952200
2022-02-01,Feb 2022,LMI11239,WA,90-95%,Investor,House,Contract,NAB,30,31,1542.25,457600
2022-02-01,Feb 2022,LMI11264,ACT,95%+,Owner Occupier,Apartment,PAYG,Macquarie,60,75,5918.96,1081900
2022-02-01,Feb 2022,LMI11737,VIC,95%+,Owner Occupier,House,Self-Employed,Commonwealth Bank,30,18,3905.38,738000
2022-02-01,Feb 2022,LMI11835,VIC,95%+,Owner Occupier,House,Self-Employed,Commonwealth Bank,90,80,4656.61,1013000
2022-02-01,Feb 2022,LMI11863,NSW,95%+,First Home Buyer,House,Self-Employed,AMP Bank,60,61,9390.28,1735400
2022-03-01,Mar 2022,LMI10189,VIC,95%+,Investor,Townhouse,PAYG,Bendigo Bank,30,28,6493.35,791600
2022-03-01,Mar 2022,LMI10250,NSW,≤80%,Owner Occupier,Townhouse,PAYG,Commonwealth Bank,30,37,5537.57,803300
2022-03-01,Mar 2022,LMI10331,QLD,85-90%,First Home Buyer,House,PAYG,Commonwealth Bank,90,79,5659.6,702200
2022-03-01,Mar 2022,LMI10446,NSW,95%+,Owner Occupier,Apartment,Contract,NAB,90,87,3934.7,1390600
2022-03-01,Mar 2022,LMI10449,NSW,80-85%,Owner Occupier,House,PAYG,Westpac,90,84,10383.38,1392600
2022-03-01,Mar 2022,LMI10602,NSW,90-95%,Investor,Townhouse,PAYG,Commonwealth Bank,30,36,4185.78,1306000
2022-03-01,Mar 2022,LMI10733,QLD,85-90%,Investor,Apartment,PAYG,Macquarie,60,62,2130.56,502300
2022-03-01,Mar 2022,LMI11064,QLD,90-95%,First Home Buyer,House,Self-Employed,Westpac,60,75,5338.64,851100
2022-03-01,Mar 2022,LMI11492,VIC,80-85%,Owner Occupier,Apartment,PAYG,ANZ,30,44,4931.36,916300
2022-03-01,Mar 2022,LMI11715,NSW,85-90%,Investor,House,PAYG,Westpac,30,45,5767.65,658600
2022-03-01,Mar 2022,LMI11756,QLD,85-90%,Investor,House,PAYG,Commonwealth Bank,30,42,3044.61,613500
2022-03-01,Mar 2022,LMI11808,NSW,90-95%,First Home Buyer,Apartment,PAYG,ANZ,30,18,4108.74,1113700
2022-03-01,Mar 2022,LMI11844,NSW,85-90%,Owner Occupier,House,PAYG,Commonwealth Bank,30,18,5832.3,1278500
2022-04-01,Apr 2022,LMI10113,WA,90-95%,First Home Buyer,Townhouse,Self-Employed,ANZ,30,23,1191.93,452900
2022-04-01,Apr 2022,LMI10143,WA,95%+,Investor,House,PAYG,NAB,30,44,3376.44,437300
2022-04-01,Apr 2022,LMI10158,NSW,80-85%,Owner Occupier,House,PAYG,NAB,30,32,5040.78,607300
2022-04-01,Apr 2022,LMI10509,NSW,90-95%,First Home Buyer,Townhouse,PAYG,Commonwealth Bank,30,21,4592.06,692100
2022-04-01,Apr 2022,LMI10581,NSW,80-85%,Owner Occupier,House,PAYG,Westpac,30,34,8242.37,1318200
2022-04-01,Apr 2022,LMI10683,QLD,85-90%,First Home Buyer,Apartment,Self-Employed,Bendigo Bank,30,33,2329.42,427400
2022-04-01,Apr 2022,LMI10754,WA,95%+,Investor,House,PAYG,ANZ,30,23,4515.82,657900
2022-04-01,Apr 2022,LMI10798,QLD,95%+,Owner Occupier,Apartment,PAYG,Westpac,60,49,1153.85,415600
2022-04-01,Apr 2022,LMI10942,QLD,85-90%,Investor,House,PAYG,Bendigo Bank,30,15,5484.26,689100
2022-04-01,Apr 2022,LMI11045,QLD,90-95%,Investor,Apartment,PAYG,Westpac,30,23,6466.42,838300
2022-04-01,Apr 2022,LMI11060,NSW,90-95%,First Home Buyer,Apartment,Self-Employed,NAB,30,28,4059.12,1264900
2022-04-01,Apr 2022,LMI11104,NSW,≤80%,Investor,Townhouse,Self-Employed,Westpac,30,15,3107.75,1115600
2022-04-01,Apr 2022,LMI11465,VIC,85-90%,First Home Buyer,House,PAYG,Westpac,60,61,6108.18,1031400
2022-04-01,Apr 2022,LMI11504,NSW,90-95%,Owner Occupier,House,Self-Employed,Westpac,30,32,6995.14,1395500
2022-04-01,Apr 2022,LMI11552,NSW,80-85%,First Home Buyer,Apartment,PAYG,Westpac,90,76,4005.8,1205700
2022-04-01,Apr 2022,LMI11752,NSW,90-95%,Investor,House,Contract,Westpac,30,44,8069.48,1151100
2022-04-01,Apr 2022,LMI11881,QLD,85-90%,Owner Occupier,Apartment,Contract,Commonwealth Bank,30,37,4517.65,742000
2022-04-01,Apr 2022,LMI11893,QLD,90-95%,Investor,Apartment,PAYG,Westpac,30,21,1576.69,472400
2022-04-01,Apr 2022,LMI11924,WA,80-85%,Owner Occupier,House,Self-Employed,Commonwealth Bank,30,29,2041.5,577700
2022-05-01,May 2022,LMI10087,VIC,85-90%,First Home Buyer,House,PAYG,NAB,30,20,1723.26,647300
2022-05-01,May 2022,LMI10127,SA,90-95%,Owner Occupier,House,PAYG,Westpac,30,35,2536.01,487300
2022-05-01,May 2022,LMI10155,VIC,80-85%,Owner Occupier,House,Self-Employed,NAB,90+,158,4567.09,1051200
2022-05-01,May 2022,LMI10202,QLD,90-95%,First Home Buyer,Townhouse,Contract,Commonwealth Bank,60,63,4510.38,759300
2022-05-01,May 2022,LMI10332,NSW,90-95%,First Home Buyer,House,Self-Employed,Commonwealth Bank,60,63,5183.23,919700
2022-05-01,May 2022,LMI10339,NSW,85-90%,Owner Occupier,House,Self-Employed,Bank of Queensland,30,29,4899.0,1417900
2022-05-01,May 2022,LMI10387,NSW,85-90%,Owner Occupier,House,PAYG,Commonwealth Bank,30,21,5568.54,1018100
2022-05-01,May 2022,LMI10408,NSW,80-85%,First Home Buyer,House,Self-Employed,ANZ,30,26,10427.69,1436600
2022-05-01,May 2022,LMI10446,NSW,95%+,Owner Occupier,Apartment,Contract,NAB,30,39,10435.97,1390600
2022-05-01,May 2022,LMI10542,WA,90-95%,Investor,House,PAYG,NAB,30,20,5717.62,791000
2022-05-01,May 2022,LMI10630,VIC,90-95%,First Home Buyer,Apartment,PAYG,Macquarie,90+,129,6003.66,982300
