claim_id,loan_id,claim_date,claim_year,state,lvr_band,lender,borrower_type,employment_type,property_type,claim_amount,recovery_amount,net_loss,loss_ratio,claim_status
CLM50000,LMI10015,2024-02-08,2024,NSW,85-90%,Westpac,Owner Occupier,Self-Employed,Land,129092.93,77082.46,52010.47,4.7936,Open
CLM50001,LMI10027,2023-10-21,2023,VIC,85-90%,NAB,First Home Buyer,PAYG,Apartment,124768.65,94119.73,30648.92,2.2872,Paid
CLM50002,LMI10040,2021-02-25,2021,TAS,90-95%,ING,Investor,PAYG,House,13666.49,8276.19,5390.3,0.8167,Open
CLM50003,LMI10106,2024-12-31,2024,VIC,90-95%,Commonwealth Bank,First Home Buyer,Contract,House,88023.92,48166.78,39857.14,2.5881,Open
CLM50004,LMI10125,2024-04-05,2024,NSW,85-90%,NAB,Owner Occupier,PAYG,House,176891.26,123514.55,53376.71,4.1377,Open
CLM50005,LMI10167,2024-03-29,2024,NSW,85-90%,Bank of Queensland,Owner Occupier,PAYG,Townhouse,246143.84,158982.87,87160.97,4.4021,Paid
CLM50006,LMI10190,2024-11-13,2024,QLD,90-95%,Bank of Queensland,Investor,Self-Employed,House,27577.89,16800.29,10777.6,0.8692,Paid
CLM50007,LMI10202,2021-08-12,2021,QLD,90-95%,Commonwealth Bank,First Home Buyer,Contract,Townhouse,38187.0,18965.99,19221.01,1.2051,Paid
CLM50008,LMI10255,2024-12-31,2024,NSW,85-90%,NAB,Owner Occupier,Self-Employed,House,109078.8,83134.1,25944.7,1.9218,Paid
CLM50009,LMI10263,2024-12-18,2024,VIC,90-95%,NAB,Owner Occupier,PAYG,House,58182.36,33986.46,24195.9,1.2974,Open
CLM50010,LMI10267,2023-08-24,2023,NSW,90-95%,Macquarie,Investor,PAYG,House,112978.25,65770.62,47207.63,1.3824,Paid
CLM50011,LMI10284,2024-10-09,2024,QLD,85-90%,ING,Investor,PAYG,Apartment,42177.41,31311.03,10866.38,1.7814,Paid
CLM50012,LMI10343,2024-09-08,2024,VIC,90-95%,Commonwealth Bank,First Home Buyer,Contract,Townhouse,139795.4,89237.8,50557.6,2.0636,Open
CLM50013,LMI10395,2023-01-04,2023,VIC,90-95%,NAB,Owner Occupier,PAYG,Townhouse,38897.17,21568.98,17328.19,1.0133,Paid
CLM50014,LMI10413,2022-11-24,2022,VIC,90-95%,Westpac,Owner Occupier,Contract,Apartment,102309.8,58895.96,43413.84,3.6948,Paid
CLM50015,LMI10467,2023-05-03,2023,QLD,90-95%,ANZ,Owner Occupier,PAYG,House,122925.73,62523.68,60402.05,4.5076,Paid
CLM50016,LMI10514,2024-12-31,2024,QLD,95%+,Bendigo Bank,First Home Buyer,PAYG,House,166539.92,66337.62,100202.3,4.0001,Open
CLM50017,LMI10526,2022-09-06,2022,NSW,90-95%,Bank of Queensland,First Home Buyer,PAYG,Apartment,72966.59,41580.0,31386.59,1.3078,Open
CLM50018,LMI10532,2020-10-31,2020,WA,90-95%,Bendigo Bank,First Home Buyer,PAYG,House,104770.24,58411.94,46358.3,3.0499,Paid
CLM50019,LMI10557,2024-12-31,2024,NSW,85-90%,Macquarie,Investor,PAYG,Apartment,126161.01,88095.4,38065.61,3.4605,Paid
CLM50020,LMI10580,2024-01-02,2024,QLD,90-95%,Westpac,Owner Occupier,Contract,House,34079.84,22323.44,11756.4,1.3591,Paid
CLM50021,LMI10619,2020-08-21,2020,NSW,95%+,ANZ,Owner Occupier,Self-Employed,House,192337.74,79580.25,112757.49,2.4145,Paid
CLM50022,LMI10631,2022-03-25,2022,NSW,85-90%,Bank of Queensland,Owner Occupier,PAYG,House,168697.33,100475.83,68221.5,3.5812,Paid
CLM50023,LMI10649,2024-12-31,2024,VIC,85-90%,Commonwealth Bank,Owner Occupier,Self-Employed,House,38099.08,23166.02,14933.06,1.6779,Paid
CLM50024,LMI10651,2024-03-21,2024,QLD,90-95%,Westpac,First Home Buyer,PAYG,Townhouse,64449.77,37135.61,27314.16,2.0233,Open
CLM50025,LMI10668,2023-04-08,2023,QLD,90-95%,Commonwealth Bank,Investor,PAYG,Apartment,53144.38,32729.98,20414.4,1.1973,Paid
CLM50026,LMI10720,2023-12-02,2023,NSW,90-95%,Commonwealth Bank,Owner Occupier,Self-Employed,House,91513.02,53448.32,38064.7,2.2862,Paid
CLM50027,LMI10721,2024-01-13,2024,VIC,95%+,Macquarie,First Home Buyer,PAYG,House,50518.9,26698.9,23820.0,0.8921,Open
CLM50028,LMI10726,2024-02-10,2024,QLD,85-90%,NAB,Owner Occupier,PAYG,House,51128.71,38086.87,13041.84,2.1919,Paid
CLM50029,LMI10735,2024-12-31,2024,ACT,≤80%,Commonwealth Bank,Investor,PAYG,House,92305.24,75457.01,16848.23,6.8768,Paid
CLM50030,LMI10753,2024-12-31,2024,VIC,90-95%,Commonwealth Bank,First Home Buyer,PAYG,House,153532.84,89346.63,64186.21,2.5122,Paid
CLM50031,LMI10774,2024-12-31,2024,QLD,90-95%,ANZ,Owner Occupier,PAYG,House,30928.15,19575.42,11352.73,1.1526,Paid
CLM50032,LMI10788,2023-11-14,2023,VIC,85-90%,Westpac,First Home Buyer,PAYG,House,54947.16,36691.1,18256.06,2.4505,Paid
CLM50033,LMI10799,2022-05-26,2022,NSW,85-90%,ANZ,Owner Occupier,PAYG,Apartment,141701.0,85422.92,56278.08,4.2797,Open
CLM50034,LMI10801,2024-12-31,2024,VIC,85-90%,Bank of Queensland,Owner Occupier,PAYG,House,56106.46,33845.32,22261.14,2.4463,Open
CLM50035,LMI10824,2022-03-16,2022,VIC,80-85%,Westpac,Refinancer,PAYG,House,111851.87,86594.06,25257.81,2.9032,Open
CLM50036,LMI10860,2023-09-17,2023,WA,85-90%,Westpac,Investor,PAYG,Townhouse,66916.22,43870.26,23045.96,2.575,Paid
CLM50037,LMI10943,2023-10-02,2023,ACT,85-90%,Bendigo Bank,First Home Buyer,PAYG,Townhouse,126425.82,98680.55,27745.27,2.655,Paid
CLM50038,LMI10946,2022-11-18,2022,NSW,90-95%,NAB,Investor,PAYG,House,98837.28,56088.26,42749.02,2.007,Paid
CLM50039,LMI10967,2022-06-01,2022,NSW,90-95%,ANZ,First Home Buyer,PAYG,Apartment,91942.73,50704.34,41238.39,1.9922,Open
CLM50040,LMI11014,2020-11-29,2020,NSW,85-90%,Bendigo Bank,First Home Buyer,Self-Employed,House,72109.0,55097.3,17011.7,1.3831,Paid
