loan_id,certificate_number,origination_date,settlement_date,vintage_year,lender,lender_channel,state,suburb,postcode,property_type,borrower_type,employment_type,lvr,lvr_band,property_value,loan_amount,insured_amount,premium_amount,loan_status
LMI10000,CERT-2020-00000,2020-04-02,2020-04-24,2020,Westpac,Bank Branch,QLD,Rockhampton,4005,House,Owner Occupier,PAYG,69.13,≤80%,810000,560000,560000,2800,Closed
LMI10001,CERT-2020-00001,2020-03-27,2020-05-08,2020,Westpac,Bank Branch,NSW,Bondi,2020,House,Investor,PAYG,92.77,90-95%,1356000,1258000,1258000,26400,Active
LMI10002,CERT-2020-00002,2020-06-25,2020-07-11,2020,ANZ,Mortgage Broker,VIC,Dandenong,3121,Apartment,Investor,PAYG,86.79,85-90%,1105000,959000,959000,13450,Closed
LMI10003,CERT-2020-00003,2020-08-15,2020-09-03,2020,Macquarie,Bank Branch,QLD,Maroochydore,4179,House,Owner Occupier,Self-Employed,68.42,≤80%,873000,597300,597300,3000,Active
LMI10004,CERT-2021-00004,2021-12-29,2022-01-27,2021,ANZ,Mortgage Broker,QLD,Redcliffe,4350,Apartment,Investor,PAYG,83.21,80-85%,507000,421900,421900,3800,Active
LMI10005,CERT-2020-00005,2020-03-08,2020-04-11,2020,Commonwealth Bank,Bank Branch,NSW,Wollongong,2300,Apartment,Owner Occupier,Self-Employed,86.41,85-90%,950000,820900,820900,11500,Closed
LMI10006,CERT-2019-00006,2019-10-11,2019-11-25,2019,NAB,Mortgage Broker,VIC,Frankston,3004,House,First Home Buyer,PAYG,86.87,85-90%,645000,560300,560300,7850,In Arrears
LMI10007,CERT-2023-00007,2023-10-29,2023-11-12,2023,NAB,Mortgage Broker,NT,Nhulunbuy,0850,House,First Home Buyer,PAYG,89.86,85-90%,510000,458300,458300,6400,Active
LMI10008,CERT-2023-00008,2023-04-10,2023-05-05,2023,Macquarie,Mortgage Broker,QLD,Cairns,4350,House,First Home Buyer,PAYG,94.86,90-95%,689000,653600,653600,13750,In Arrears
LMI10009,CERT-2022-00009,2022-05-11,2022-06-14,2022,Commonwealth Bank,Bank Branch,SA,Port Augusta,5046,House,First Home Buyer,Self-Employed,97.76,95%+,531000,519100,519100,15550,In Arrears
LMI10010,CERT-2019-00010,2019-09-15,2019-10-07,2019,Westpac,Bank Branch,WA,Albany,6100,House,Owner Occupier,PAYG,96.64,95%+,690000,666800,666800,20000,Active
LMI10011,CERT-2021-00011,2021-06-16,2021-07-28,2021,ANZ,Bank Branch,NSW,Sydney CBD,2100,House,First Home Buyer,PAYG,96.98,95%+,851000,825300,825300,24750,In Arrears
LMI10012,CERT-2019-00012,2019-05-26,2019-06-24,2019,ANZ,Bank Branch,NSW,Maitland,2500,House,Owner Occupier,PAYG,97.59,95%+,1021000,996400,996400,29900,Active
LMI10013,CERT-2023-00013,2023-11-05,2023-11-22,2023,Westpac,Mortgage Broker,QLD,Brisbane CBD,4005,Apartment,First Home Buyer,PAYG,87.11,85-90%,777000,676800,676800,9500,Active
LMI10014,CERT-2020-00014,2020-05-26,2020-06-13,2020,AMP Bank,Online / Direct,VIC,Footscray,3000,Townhouse,Investor,Self-Employed,86.46,85-90%,899000,777300,777300,10900,Closed
LMI10015,CERT-2021-00015,2021-04-01,2021-04-18,2021,Westpac,Online / Direct,NSW,Penrith,2170,Land,Owner Occupier,Self-Employed,86.15,85-90%,898000,773600,773600,10850,Default
LMI10016,CERT-2022-00016,2022-04-01,2022-04-18,2022,ANZ,Online / Direct,NSW,Wollongong,2750,House,Refinancer,PAYG,89.85,85-90%,1528000,1372900,1372900,19200,In Arrears
LMI10017,CERT-2020-00017,2020-04-26,2020-06-04,2020,ANZ,Mortgage Broker,NSW,Sydney CBD,2750,House,Owner Occupier,Contract,88.41,85-90%,849000,750600,750600,10500,Active
LMI10018,CERT-2021-00018,2021-03-21,2021-04-12,2021,ANZ,Online / Direct,NSW,Sydney CBD,2010,Land,First Home Buyer,PAYG,91.27,90-95%,1445000,1318900,1318900,27700,Active
LMI10019,CERT-2023-00019,2023-12-06,2024-01-04,2023,Westpac,Online / Direct,NSW,Bondi,2200,Apartment,Owner Occupier,PAYG,97.65,95%+,1119000,1092700,1092700,32800,In Arrears
LMI10020,CERT-2023-00020,2023-12-04,2023-12-26,2023,Commonwealth Bank,Bank Branch,VIC,Werribee,3350,House,First Home Buyer,PAYG,95.4,95%+,770000,734600,734600,22050,Active
LMI10021,CERT-2024-00021,2024-02-03,2024-02-20,2024,Commonwealth Bank,Mortgage Broker,WA,Perth CBD,6018,Apartment,First Home Buyer,Self-Employed,86.33,85-90%,423000,365200,365200,5100,Active
LMI10022,CERT-2019-00022,2019-06-04,2019-06-27,2019,Commonwealth Bank,Bank Branch,VIC,Ringwood,3008,Townhouse,Investor,Self-Employed,85.15,85-90%,973000,828500,828500,11600,Closed
LMI10023,CERT-2019-00023,2019-07-30,2019-09-04,2019,Commonwealth Bank,Online / Direct,WA,Cannington,6150,Apartment,Refinancer,Self-Employed,81.32,80-85%,747000,607500,607500,5450,Active
LMI10024,CERT-2020-00024,2020-11-11,2020-12-21,2020,Macquarie,Bank Branch,WA,Mandurah,6018,Apartment,Investor,PAYG,76.05,≤80%,757000,575700,575700,2900,Closed
LMI10025,CERT-2023-00025,2023-06-17,2023-07-15,2023,Westpac,Bank Branch,WA,Armadale,6050,Apartment,First Home Buyer,PAYG,86.6,85-90%,485000,420000,420000,5900,Active
LMI10026,CERT-2019-00026,2019-02-26,2019-03-19,2019,Commonwealth Bank,Mortgage Broker,QLD,Brisbane CBD,4069,Apartment,First Home Buyer,PAYG,91.72,90-95%,885000,811700,811700,17050,Closed
