CENTRE_CODE,SCHOOL,LOCALITY,YR3ENR,YR5ENR,YR7ENR,YR9ENR,YR3READMEAN,YR3WRITMEAN,YR3SPELMEAN,YR3GPMEAN,YR3NMCYMEAN,YR5READMEAN,YR5WRITMEAN,YR5SPELMEAN,YR5GPMEAN,YR5NMCYMEAN,YR7READMEAN,YR7WRITMEAN,YR7SPELMEAN,YR7GPMEAN,YR7NMCYMEAN,YR9READMEAN,YR9WRITMEAN,YR9SPELMEAN,YR9GPMEAN,YR9NMCYMEAN,YR3READPCTNMS,YR3WRITPCTNMS,YR3SPELPCTNMS,YR3GPPCTNMS,YR3NMCYPCTNMS,YR5READPCTNMS,YR5WRITPCTNMS,YR5SPELPCTNMS,YR5GPPCTNMS,YR5NMCYPCTNMS,YR7READPCTNMS,YR7WRITPCTNMS,YR7SPELPCTNMS,YR7GPPCTNMS,YR7NMCYPCTNMS,YR9READPCTNMS,YR9WRITPCTNMS,YR9SPELPCTNMS,YR9GPPCTNMS,YR9NMCYPCTNMS
"5817","A B Paterson College","Arundel","96","104","121","123","489","454","446","494","446","543","524","542","566","541","569","556","580","569","574","618","597","620","612","633","100%","99%","100%","100%","100%","99%","98%","100%","99%","100%","100%","99%","100%","97%","100%","100%","95%","100%","98%","100%"
"591","Abercorn State School","Abercorn","5","5","--","--","418","450","427","451","411","485","495","509","517","517","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"1275","Abergowrie State School","Abergowrie","--","1","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"5588","Aboriginal and Islander Independent Community School","Acacia Ridge","17","12","12","12","392","385","390","388","385","407","356","449","400","434","488","442","533","482","498","491","392","485","443","509","100%","100%","100%","100%","100%","63%","50%","78%","67%","91%","100%","89%","100%","89%","100%","64%","0%","40%","30%","86%"
"25","Acacia Ridge State School","Acacia Ridge","39","34","--","--","363","364","343","356","332","425","439","447","440","439","--","--","--","--","--","--","--","--","--","--","84%","92%","74%","79%","87%","88%","78%","81%","78%","84%","--","--","--","--","--","--","--","--","--","--"
"1983","Agnes Water State School","Agnes Water","39","32","--","--","408","380","368","397","368","478","443","469","450","462","--","--","--","--","--","--","--","--","--","--","95%","95%","95%","87%","97%","97%","88%","81%","84%","100%","--","--","--","--","--","--","--","--","--","--"
"2421","Agnew School","Wakerley","20","12","12","22","443","414","405","456","409","498","486","511","530","502","589","557","547","581","575","595","559","575","557","620","100%","100%","95%","89%","95%","100%","100%","100%","100%","100%","100%","100%","83%","100%","100%","95%","91%","95%","95%","100%"
"2425","Agnew School (Darling Downs)","Toowoomba","10","3","12","8","468","422","439","452","413","^","^","^","^","^","567","511","550","581","586","605","575","612","608","656","90%","100%","100%","80%","100%","^","^","^","^","^","100%","92%","100%","100%","100%","100%","100%","100%","100%","100%"
"2424","Agnew School (Nambour)","Nambour Heights","5","6","4","3","434","432","427","457","394","547","506","551","544","486","^","^","^","^","^","^","^","^","^","^","80%","100%","100%","100%","100%","100%","100%","100%","100%","100%","^","^","^","^","^","^","^","^","^","^"
"2423","Agnew School (Wide Bay)","Maryborough","5","6","8","11","447","426","392","447","^","508","500","519","502","515","564","496","563","557","570","555","532","580","593","622","100%","100%","100%","100%","^","100%","100%","100%","100%","100%","100%","88%","100%","100%","100%","67%","80%","90%","100%","100%"
"598","Airville State School","Airville Via Ayr","4","2","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"801","Aitkenvale State School","Aitkenvale","50","60","--","--","398","385","361","386","366","459","414","452","451","436","--","--","--","--","--","--","--","--","--","--","87%","86%","80%","83%","82%","78%","60%","67%","72%","67%","--","--","--","--","--","--","--","--","--","--"
"2155","Albany Creek State High School","Albany Creek","--","--","222","206","--","--","--","--","--","--","--","--","--","--","546","514","547","542","543","576","554","593","577","589","--","--","--","--","--","--","--","--","--","--","98%","88%","93%","92%","99%","95%","84%","95%","95%","99%"
"190","Albany Creek State School","Albany Creek","127","96","--","--","432","403","399","450","402","505","488","505","525","505","--","--","--","--","--","--","--","--","--","--","95%","99%","98%","98%","99%","97%","98%","97%","95%","96%","--","--","--","--","--","--","--","--","--","--"
"1892","Albany Hills State School","Albany Creek","102","116","--","--","421","414","414","433","394","528","497","521","546","518","--","--","--","--","--","--","--","--","--","--","96%","98%","99%","97%","96%","100%","97%","99%","99%","100%","--","--","--","--","--","--","--","--","--","--"
"38","Albert State School","Maryborough","19","20","--","--","362","340","311","315","308","456","415","454","454","437","--","--","--","--","--","--","--","--","--","--","79%","89%","74%","74%","68%","89%","70%","80%","90%","84%","--","--","--","--","--","--","--","--","--","--"
"2017","Aldridge State High School","Maryborough","--","--","188","236","--","--","--","--","--","--","--","--","--","--","526","486","533","525","517","569","529","574","571","581","--","--","--","--","--","--","--","--","--","--","93%","80%","84%","85%","95%","86%","72%","88%","85%","93%"
"1963","Alexandra Bay State School","Cape Tribulation Via Mossman","4","4","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"2175","Alexandra Hills State High School","Alexandra Hills","--","--","225","248","--","--","--","--","--","--","--","--","--","--","523","495","530","513","523","572","535","567","558","575","--","--","--","--","--","--","--","--","--","--","99%","87%","92%","90%","97%","94%","77%","87%","89%","99%"
"405","Alexandra Hills State School","Alexandra Hills","29","21","--","--","439","355","368","449","354","594","425","440","561","451","--","--","--","--","--","--","--","--","--","--","100%","93%","93%","100%","89%","100%","90%","80%","95%","100%","--","--","--","--","--","--","--","--","--","--"
"1866","Algester State School","Algester","138","136","--","--","432","412","409","451","405","492","469","491","502","490","--","--","--","--","--","--","--","--","--","--","97%","98%","98%","98%","98%","94%","84%","92%","92%","93%","--","--","--","--","--","--","--","--","--","--"
"5369","All Hallows' School","Brisbane","--","78","230","245","--","--","--","--","--","573","542","543","571","552","605","587","587","603","584","644","625","633","637","640","--","--","--","--","--","100%","100%","100%","100%","100%","99%","100%","99%","99%","99%","100%","98%","99%","99%","100%"
"5452","All Saints Anglican School","Merrimac","75","104","173","175","485","458","446","500","450","552","520","518","546","536","599","560","593","600","591","621","608","617","604","639","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","99%","100%","99%","95%","98%","98%","99%"
"5600","All Saints Primary School (Albany Creek)","Albany Creek","104","80","--","--","453","424","410","441","421","510","481","499","503","488","--","--","--","--","--","--","--","--","--","--","99%","99%","99%","99%","99%","96%","95%","97%","96%","100%","--","--","--","--","--","--","--","--","--","--"
"5111","All Saints' School","Boonah","26","34","--","--","397","377","351","398","360","487","479","453","484","466","--","--","--","--","--","--","--","--","--","--","96%","92%","92%","96%","92%","97%","94%","90%","90%","97%","--","--","--","--","--","--","--","--","--","--"
"5451","All Souls St Gabriels School","Charters Towers","22","11","46","56","428","416","395","402","400","492","467","481","481","480","555","503","542","533","537","560","506","560","555","580","100%","100%","100%","95%","100%","100%","91%","91%","91%","91%","98%","83%","93%","98%","98%","91%","64%","82%","84%","95%"
"155","Allenstown State School","Rockhampton","54","41","--","--","389","372","370","387","367","443","394","435","435","435","--","--","--","--","--","--","--","--","--","--","86%","88%","88%","78%","82%","87%","62%","78%","70%","86%","--","--","--","--","--","--","--","--","--","--"
"773","Alligator Creek State School","Alligator Creek Via Mackay","44","55","--","--","423","435","413","459","421","481","491","477","506","465","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","98%","100%","94%","94%","94%","94%","94%","--","--","--","--","--","--","--","--","--","--"
"3","Allora State School","Allora","23","20","20","24","350","407","352","366","339","470","437","445","483","461","525","487","499","526","523","559","509","544","551","566","91%","100%","100%","96%","91%","89%","84%","89%","100%","94%","89%","71%","82%","88%","94%","90%","67%","71%","81%","100%"
"430","Alloway State School","Bundaberg","9","10","--","--","405","440","406","398","406","440","444","440","460","483","--","--","--","--","--","--","--","--","--","--","100%","100%","89%","89%","89%","100%","100%","100%","90%","100%","--","--","--","--","--","--","--","--","--","--"
"870","Aloomba State School","Aloomba","16","16","--","--","433","444","424","452","409","524","494","517","555","513","--","--","--","--","--","--","--","--","--","--","94%","100%","100%","100%","100%","100%","100%","100%","100%","94%","--","--","--","--","--","--","--","--","--","--"
"517","Alpha State School","Alpha","3","2","2","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--"
"1719","Amamoor State School","Amamoor","8","9","--","--","400","403","377","430","392","512","480","464","472","495","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","86%","86%","71%","86%","86%","--","--","--","--","--","--","--","--","--","--"
"115","Amberley District State School","Yamanto","121","103","--","--","397","381","388","397","368","481","456","476","471","471","--","--","--","--","--","--","--","--","--","--","96%","93%","95%","93%","93%","96%","90%","91%","89%","98%","--","--","--","--","--","--","--","--","--","--"
"1415","Ambrose State School","Ambrose","11","20","--","--","405","423","405","460","428","544","486","551","551","529","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"5077","Ambrose Treacy College","Indooroopilly","--","120","120","--","--","--","--","--","--","533","502","504","528","525","549","500","534","532","551","--","--","--","--","--","--","--","--","--","--","97%","97%","94%","98%","100%","99%","88%","90%","90%","99%","--","--","--","--","--"
"1629","Amiens State School","Amiens","6","2","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"474","Anakie State School","Anakie","13","12","--","--","384","427","388","379","393","455","458","456","450","442","--","--","--","--","--","--","--","--","--","--","92%","100%","92%","92%","100%","100%","100%","90%","80%","100%","--","--","--","--","--","--","--","--","--","--"
"96","Ananda Marga River School","Maleny","23","17","--","--","366","396","333","355","359","514","476","467","488","481","--","--","--","--","--","--","--","--","--","--","70%","100%","90%","75%","95%","100%","93%","100%","93%","100%","--","--","--","--","--","--","--","--","--","--"
