month,year,label,solar_mwh,wind_mwh,grid_mwh,total_mwh,co2_saved_tonnes,cost_savings_aud,capacity_pct,peak_day_mwh,sunshine_hrs
1,2025,Jan 25,312,145,89,546,198,52400,71,18.4,7.2
2,2025,Feb 25,298,162,76,536,191,50800,68,17.1,7.8
3,2025,Mar 25,356,138,68,562,213,56200,81,22.3,8.1
4,2025,Apr 25,421,119,52,592,237,62800,96,28.7,8.9
5,2025,May 25,387,143,61,591,223,59400,88,24.1,8.4
6,2025,Jun 25,298,187,84,569,181,52900,68,15.2,6.9
7,2025,Jul 25,312,201,91,604,189,55100,71,16.8,7.1
8,2025,Aug 25,376,178,73,627,214,61200,86,21.9,7.8
9,2025,Sep 25,448,156,58,662,252,69800,102,31.2,9.1
10,2025,Oct 25,512,134,44,690,290,78400,117,38.6,9.8
11,2025,Nov 25,538,121,38,697,306,82100,123,42.1,10.2
12,2025,Dec 25,489,148,55,692,277,74600,112,35.8,9.6
1,2026,Jan 26,334,158,71,563,212,57200,76,19.8,7.5
2,2026,Feb 26,321,171,64,556,204,55800,73,18.3,7.9
3,2026,Mar 26,398,149,55,602,239,64100,91,25.7,8.6
4,2026,Apr 26,467,128,41,636,270,72400,107,32.4,9.3
5,2026,May 26,431,144,47,622,244,67800,98,27.8,8.8
6,2026,Jun 26*,156,67,23,246,89,28200,71,12.1,7.1
